Order ID,Customer ID,Product ID,Date,Original Price,Discount%,Price after discount
OD0050,C050,P0038,26-06-2021,654,50%,327
OD0051,C051,P0039,20-09-2022,654,50%,327
OD0052,C052,P0040,07-09-2021,356,30%,249
OD0053,C053,P0041,01-03-2023,2235,32%,1520
OD0054,C054,P0042,26-08-2022,1125,25%,844
OD0055,C055,P0043,11-06-2022,2451,45%,1348
OD0056,C056,P0044,07-07-2021,2263,15%,1924
OD0057,C057,P0045,11-12-2021,1365,33%,915
OD0058,C058,P0046,02-01-2023,2453,42%,1423
OD0059,C059,P0047,11-02-2021,1555,42%,902
OD0060,C060,P0048,30-12-2022,1234,39%,753
OD0061,C061,P0049,04-10-2022,2344,39%,1430
OD0062,C062,P0050,23-04-2021,2142,39%,1307
OD0063,C063,P0051,28-01-2021,2612,39%,1593
OD0064,C064,P0051,28-04-2021,2243,30%,1570
OD0065,C065,P0051,27-07-2021,333,30%,233
OD0066,C066,P0052,14-11-2021,236,30%,165
OD0067,C067,P0053,16-08-2022,456,25%,342
OD0068,C068,P0054,11-06-2022,963,25%,722
OD0069,C069,P0055,13-04-2021,234,30%,164
OD0070,C070,P0056,27-12-2022,456,30%,319
OD0071,C071,P0057,31-03-2023,564,30%,395
OD0072,C072,P0058,29-01-2021,634,40%,380
OD0073,C073,P0059,20-12-2022,236,40%,142
OD0074,C074,P0060,07-01-2023,444,40%,266
OD0075,C075,P0060,12-12-2021,456,40%,274
OD0076,C076,P0060,04-08-2022,963,40%,578
OD0077,C077,P0060,13-09-2021,456,40%,274
OD0078,C078,P0061,31-01-2023,1189,45%,654
OD0079,C079,P0062,05-03-2023,1298,45%,714
OD0080,C080,P0063,24-09-2021,1456,45%,801
OD0081,C081,P0064,13-04-2021,1478,47%,783
OD0082,C082,P0065,11-06-2021,256,47%,136
OD0083,C083,P0066,27-03-2021,2698,46%,1457
OD0084,C084,P0067,25-02-2022,2364,46%,1277
OD0085,C085,P0068,23-05-2022,1236,46%,667
OD0086,C086,P0069,15-02-2022,756,30%,529
OD0087,C087,P0070,11-12-2022,326,30%,228
OD0088,C088,P0071,18-05-2021,453,30%,317
OD0089,C089,P0072,29-09-2022,326,30%,228
OD0090,C090,P0073,12-06-2021,456,30%,319
OD0091,C091,P0074,25-02-2023,675,35%,439
OD0092,C092,P0075,24-01-2021,654,35%,425
OD0093,C093,P0076,17-07-2021,654,35%,425
OD0094,C094,P0077,06-11-2021,654,35%,425
OD0095,C095,P0077,06-03-2021,654,35%,425
OD0096,C096,P0077,03-01-2021,356,35%,231
OD0097,C097,P0077,03-12-2022,686,40%,412
OD0098,C098,P0077,20-07-2022,456,40%,274
OD0099,C099,P0078,15-06-2021,516,15%,439
OD0100,C100,P0079,12-03-2022,355,15%,302
OD0101,C001,P0080,13-05-2022,465,15%,395
OD0102,C002,P0081,26-11-2022,965,35%,627
OD0103,C003,P0082,18-01-2023,1158,35%,753
OD0104,C004,P0083,22-08-2021,264,35%,172
OD0105,C005,P0084,20-04-2022,433,35%,281
OD0106,C006,P0085,24-09-2021,562,55%,253
OD0107,C007,P0086,09-08-2022,423,55%,190
OD0108,C008,P0087,05-07-2022,621,55%,279
OD0109,C009,P0088,07-11-2021,333,55%,150
OD0110,C010,P0089,07-03-2023,236,50%,118
OD0111,C011,P0090,09-09-2022,456,50%,228
OD0112,C012,P0091,31-03-2022,963,50%,482
OD0113,C013,P0092,31-05-2021,234,50%,117
OD0114,C014,P0093,26-06-2022,456,50%,228
OD0115,C015,P0094,20-06-2021,564,30%,395
OD0116,C016,P0094,16-06-2021,634,32%,431
OD0117,C017,P0094,09-08-2021,236,25%,177
OD0118,C018,P0095,30-01-2021,444,45%,244
OD0119,C019,P0096,27-02-2023,456,15%,388
OD0120,C020,P0097,25-03-2022,963,33%,645
OD0121,C021,P0098,28-09-2021,456,42%,264
OD0122,C022,P0099,19-08-2021,1189,42%,690
OD0123,C023,P0100,03-11-2021,1298,39%,792
OD0124,C024,P0101,04-05-2022,1456,39%,888
OD0125,C025,P0102,29-09-2021,1478,39%,902
OD0126,C026,P0103,21-06-2022,256,39%,156
OD0127,C027,P0104,04-04-2021,2698,30%,1889
OD0128,C028,P0105,21-11-2022,2364,30%,1655
OD0129,C029,P0106,17-03-2023,1236,30%,865
OD0130,C030,P0107,20-03-2023,756,25%,567
OD0131,C031,P0108,07-08-2021,326,25%,245
OD0132,C032,P0108,19-11-2022,453,30%,317
OD0133,C033,P0108,17-10-2021,326,30%,228
OD0134,C034,P0108,23-04-2021,456,30%,319
OD0135,C035,P0108,26-12-2022,675,40%,405
OD0136,C036,P0109,07-04-2021,654,40%,392
OD0137,C037,P0110,22-02-2022,654,40%,392
OD0138,C038,P0111,06-06-2022,654,40%,392
OD0139,C039,P0112,04-01-2022,654,40%,392
OD0140,C040,P0113,17-04-2021,356,40%,214
OD0141,C041,P0113,01-02-2022,686,45%,377
OD0142,C042,P0113,19-10-2022,456,45%,251
OD0143,C043,P0114,09-02-2021,516,45%,284
OD0144,C044,P0115,22-09-2021,355,47%,188
OD0145,C045,P0116,27-10-2022,465,47%,246
OD0146,C046,P0117,02-01-2022,965,46%,521
OD0147,C047,P0118,03-09-2022,1158,46%,625
OD0148,C048,P0119,01-01-2021,264,46%,143
OD0149,C049,P0120,13-03-2021,433,30%,303
OD0150,C050,P0121,01-10-2022,562,30%,393
OD0151,C051,P0122,25-02-2021,423,30%,296
OD0152,C052,P0123,18-11-2022,621,30%,435
OD0153,C053,P0124,31-08-2022,333,30%,233
OD0154,C054,P0125,26-06-2022,236,35%,153
OD0155,C055,P0126,08-08-2022,456,35%,296
OD0156,C056,P0127,09-01-2022,963,35%,626
OD0157,C057,P0128,27-01-2022,234,35%,152
OD0158,C058,P0129,01-06-2022,456,35%,296
OD0159,C059,P0130,23-09-2021,564,35%,367
OD0160,C060,P0131,31-01-2021,634,40%,380
OD0161,C061,P0132,28-07-2021,236,40%,142
OD0162,C062,P0133,16-09-2021,444,15%,377
OD0163,C063,P0134,27-01-2022,456,15%,388
OD0164,C064,P0135,05-01-2022,963,15%,819
OD0165,C065,P0136,11-12-2021,456,35%,296
OD0166,C066,P0137,10-09-2022,1189,35%,773
OD0167,C067,P0138,19-01-2021,1298,35%,844
OD0168,C068,P0138,23-11-2022,1456,35%,946
OD0169,C069,P0138,15-04-2022,1478,55%,665
OD0170,C070,P0139,17-03-2023,256,55%,115
OD0171,C071,P0140,22-03-2022,2698,55%,1214
OD0172,C072,P0141,03-03-2021,2364,55%,1064
OD0173,C073,P0142,02-10-2021,1236,50%,618
OD0174,C074,P0143,10-02-2021,756,50%,378
OD0175,C075,P0144,30-10-2022,326,50%,163
OD0176,C076,P0145,06-08-2022,453,50%,227
OD0177,C077,P0146,25-01-2023,326,50%,163
OD0178,C078,P0147,16-03-2021,456,30%,319
OD0179,C079,P0148,29-01-2023,456,32%,310
OD0180,C080,P0149,14-04-2022,456,25%,342
OD0181,C081,P0150,15-02-2021,456,45%,251
OD0182,C082,P0151,01-11-2021,236,15%,201
OD0183,C083,P0152,15-03-2022,996,33%,667
OD0184,C084,P0153,10-04-2022,654,42%,379
OD0185,C085,P0154,08-10-2021,456,42%,264
OD0186,C086,P0155,18-03-2023,785,39%,479
OD0187,C087,P0156,24-03-2022,365,39%,223
OD0188,C088,P0157,27-03-2022,965,39%,589
OD0189,C089,P0158,23-01-2022,444,39%,271
OD0190,C090,P0159,31-12-2022,569,30%,398
OD0191,C091,P0160,13-02-2023,475,30%,333
OD0192,C092,P0161,14-02-2022,598,30%,419
OD0193,C093,P0162,08-12-2021,536,25%,402
OD0194,C094,P0163,10-09-2021,256,25%,192
OD0195,C095,P0164,12-04-2022,456,30%,319
OD0196,C096,P0165,23-03-2023,456,30%,319
OD0197,C097,P0166,12-10-2022,745,30%,522
OD0198,C098,P0167,06-05-2021,356,40%,214
OD0199,C099,P0168,03-04-2021,1189,40%,713
OD0200,C100,P0168,04-02-2022,426,40%,256
OD0201,C001,P0168,31-05-2021,1126,40%,676
OD0202,C002,P0168,31-05-2021,1145,40%,687
OD0203,C003,P0169,09-11-2021,1235,40%,741
OD0204,C004,P0170,11-02-2021,1564,45%,860
OD0205,C005,P0171,06-02-2022,654,45%,360
OD0206,C006,P0172,05-03-2023,854,45%,470
OD0207,C007,P0173,22-09-2021,475,47%,252
OD0208,C008,P0174,05-08-2021,349,47%,185
OD0209,C009,P0175,19-02-2023,350,46%,189
OD0210,C010,P0176,18-08-2021,351,46%,190
OD0211,C011,P0177,27-02-2023,352,46%,190
OD0212,C012,P0178,24-01-2021,353,30%,247
OD0213,C013,P0179,16-08-2021,354,30%,248
OD0214,C014,P0180,02-03-2023,355,30%,249
OD0215,C015,P0181,24-02-2022,356,30%,249
OD0216,C016,P0182,05-05-2021,999,30%,699
OD0217,C017,P0183,25-10-2021,555,35%,361
OD0218,C018,P0184,04-12-2022,555,35%,361
OD0219,C019,P0185,01-09-2022,555,35%,361
OD0220,C020,P0186,27-03-2023,555,35%,361
OD0221,C021,P0187,09-11-2021,1025,35%,666
OD0222,C022,P0188,04-03-2023,1025,35%,666
OD0223,C023,P0188,07-09-2022,1025,40%,615
OD0224,C024,P0188,25-01-2022,555,40%,333
OD0225,C025,P0189,05-03-2021,599,15%,509
OD0226,C026,P0190,26-03-2021,555,15%,472
OD0227,C027,P0191,12-12-2021,555,15%,472
OD0228,C028,P0192,07-07-2022,2245,35%,1459
OD0229,C029,P0193,20-02-2021,2256,35%,1466
OD0230,C030,P0194,29-07-2022,2214,35%,1439
OD0231,C031,P0195,23-03-2023,2145,35%,1394
OD0232,C032,P0196,17-12-2022,2325,55%,1046
OD0233,C033,P0197,13-10-2021,2256,55%,1015
OD0234,C034,P0198,01-05-2021,1425,55%,641
OD0235,C035,P0199,19-05-2021,2236,55%,1006
OD0236,C036,P0200,16-08-2021,2525,50%,1263
OD0237,C037,P0201,14-10-2022,2145,50%,1073
OD0238,C038,P0202,14-11-2021,2365,50%,1183
OD0239,C039,P0203,27-11-2021,1245,50%,623
OD0240,C040,P0204,01-08-2021,3245,50%,1623
OD0241,C041,P0205,12-12-2021,1222,30%,855
OD0242,C042,P0206,19-02-2022,2451,32%,1667
OD0243,C043,P0207,10-05-2022,2256,25%,1692
OD0244,C044,P0208,21-11-2021,399,45%,219
OD0245,C045,P0209,06-09-2021,399,15%,339
OD0246,C046,P0210,09-08-2022,399,33%,267
OD0247,C047,P0211,28-12-2022,399,42%,231
OD0248,C048,P0212,16-12-2021,555,42%,322
OD0249,C049,P0213,09-12-2022,555,39%,339
OD0250,C050,P0214,09-06-2021,555,39%,339
OD0251,C051,P0214,22-03-2022,555,39%,339
OD0252,C052,P0214,01-12-2022,675,39%,412
OD0253,C053,P0214,27-12-2021,675,30%,473
OD0254,C054,P0214,21-11-2022,675,30%,473
OD0255,C055,P0215,11-09-2021,654,30%,458
OD0256,C056,P0216,22-01-2023,654,25%,491
OD0257,C057,P0217,21-01-2021,654,25%,491
OD0258,C058,P0218,02-01-2022,654,30%,458
OD0259,C059,P0219,26-11-2021,356,30%,249
OD0260,C060,P0220,05-06-2022,686,30%,480
OD0261,C061,P0221,28-12-2022,456,40%,274
OD0262,C062,P0222,05-09-2021,516,40%,310
OD0263,C063,P0223,26-07-2021,355,40%,213
OD0264,C064,P0224,18-05-2022,465,40%,279
OD0265,C065,P0225,17-03-2021,965,40%,579
OD0266,C066,P0226,26-10-2021,1158,40%,695
OD0267,C067,P0227,11-07-2021,264,45%,145
OD0268,C068,P0228,19-06-2021,433,45%,238
OD0269,C069,P0229,29-07-2021,562,45%,309
OD0270,C070,P0230,05-04-2021,423,47%,224
OD0271,C071,P0231,25-10-2022,621,47%,329
OD0272,C072,P0232,26-01-2023,333,46%,180
OD0273,C073,P0233,02-04-2021,236,46%,127
OD0274,C074,P0234,24-06-2022,456,46%,246
OD0275,C075,P0235,05-08-2021,963,30%,674
OD0276,C076,P0236,03-09-2022,234,30%,164
OD0277,C077,P0237,28-04-2022,456,30%,319
OD0278,C078,P0238,17-04-2022,564,30%,395
OD0279,C079,P0239,11-07-2022,634,30%,444
OD0280,C080,P0240,06-06-2022,236,35%,153
OD0281,C081,P0241,14-06-2022,444,35%,289
OD0282,C082,P0242,23-06-2021,456,35%,296
OD0283,C083,P0243,16-02-2023,963,35%,626
OD0284,C084,P0244,13-09-2021,456,35%,296
OD0285,C085,P0245,24-11-2021,1189,35%,773
OD0286,C086,P0245,07-05-2022,1298,40%,779
OD0287,C087,P0245,22-04-2022,1456,40%,874
OD0288,C088,P0246,14-10-2022,1478,15%,1256
OD0289,C089,P0247,23-03-2022,256,15%,218
OD0290,C090,P0248,09-10-2022,2698,15%,2293
OD0291,C091,P0249,16-05-2021,2364,35%,1537
OD0292,C092,P0250,27-05-2021,1236,35%,803
OD0293,C093,P0251,24-05-2021,756,35%,491
OD0294,C094,P0252,01-05-2022,326,35%,212
OD0295,C095,P0253,28-02-2021,453,55%,204
OD0296,C096,P0254,24-08-2021,326,55%,147
OD0297,C097,P0255,26-02-2022,456,55%,205
OD0298,C098,P0256,22-09-2022,675,55%,304
OD0299,C099,P0257,09-05-2021,654,50%,327
OD0300,C100,P0257,21-05-2021,654,50%,327
OD0301,C100,P0257,09-11-2022,654,50%,327
OD0302,C100,P0257,06-08-2021,654,50%,327
OD0303,C100,P0257,26-03-2021,356,50%,178
OD0304,C100,P0257,16-06-2022,686,30%,480
OD0305,C100,P0258,09-03-2022,456,32%,310
OD0306,C100,P0259,17-02-2023,516,25%,387
OD0307,C100,P0260,08-02-2022,355,45%,195
OD0308,C099,P0261,15-03-2022,465,15%,395
OD0309,C099,P0262,23-03-2022,965,33%,647
OD0310,C099,P0263,14-08-2022,1158,42%,672
OD0311,C099,P0264,27-02-2022,264,42%,153
OD0312,C099,P0265,05-07-2021,433,39%,264
OD0313,C099,P0266,13-10-2022,562,39%,343
OD0314,C099,P0267,17-02-2022,423,39%,258
OD0315,C099,P0268,16-01-2022,621,39%,379
OD0316,C001,P0269,10-11-2022,333,30%,233
OD0317,C002,P0270,25-12-2021,236,30%,165
OD0318,C003,P0271,23-09-2022,456,30%,319
OD0319,C004,P0272,08-09-2022,963,25%,722
OD0320,C005,P0273,28-11-2022,234,25%,176
OD0321,C006,P0274,29-09-2021,456,30%,319
OD0322,C007,P0274,04-12-2022,564,30%,395
OD0323,C008,P0274,19-03-2021,634,30%,444
OD0324,C009,P0274,09-12-2022,236,40%,142
OD0325,C010,P0274,07-12-2022,444,40%,266
OD0326,C011,P0275,22-11-2021,456,40%,274
OD0327,C012,P0276,16-07-2021,963,40%,578
OD0328,C013,P0277,26-05-2021,456,40%,274
OD0329,C014,P0278,02-11-2022,1189,40%,713
OD0330,C015,P0279,27-11-2021,1298,45%,714
OD0331,C016,P0280,30-07-2022,1456,45%,801
OD0332,C017,P0281,15-04-2021,1478,45%,813
OD0333,C018,P0282,19-12-2021,256,47%,136
OD0334,C019,P0283,06-07-2021,2698,47%,1430
OD0335,C020,P0284,29-09-2021,2364,46%,1277
OD0336,C021,P0285,16-11-2022,1236,46%,667
OD0337,C022,P0286,04-12-2022,756,46%,408
OD0338,C023,P0287,17-12-2021,326,30%,228
OD0339,C024,P0288,09-06-2022,453,30%,317
OD0340,C025,P0289,08-08-2022,326,30%,228
OD0341,C026,P0290,01-01-2021,456,30%,319
OD0342,C027,P0291,14-03-2021,675,30%,473
OD0343,C028,P0292,21-09-2021,654,35%,425
OD0344,C029,P0292,15-12-2021,654,35%,425
OD0345,C030,P0292,12-06-2021,654,35%,425
OD0346,C031,P0292,30-07-2022,654,35%,425
OD0347,C032,P0293,12-08-2021,356,35%,231
OD0348,C033,P0294,12-03-2022,686,35%,446
OD0349,C034,P0295,19-02-2023,456,40%,274
OD0350,C035,P0296,03-07-2021,516,40%,310
OD0351,C036,P0297,03-12-2021,355,15%,302
OD0352,C037,P0298,08-04-2022,465,15%,395
OD0353,C038,P0299,13-07-2022,965,15%,820
OD0354,C039,P0300,13-05-2022,1158,35%,753
OD0355,C040,P0301,11-02-2021,264,35%,172
OD0356,C041,P0302,28-10-2021,433,35%,281
OD0357,C042,P0303,31-12-2022,562,35%,365
OD0358,C043,P0304,09-02-2021,423,55%,190
OD0359,C044,P0305,11-01-2022,621,55%,279
OD0360,C045,P0306,11-03-2022,333,55%,150
OD0361,C046,P0307,19-08-2021,236,55%,106
OD0362,C047,P0308,26-03-2021,456,50%,228
OD0363,C048,P0309,29-03-2023,963,50%,482
OD0364,C049,P0310,25-12-2021,234,50%,117
OD0365,C050,P0311,24-04-2021,456,50%,228
OD0366,C051,P0312,01-01-2021,564,50%,282
OD0367,C052,P0313,13-01-2021,634,30%,444
OD0368,C053,P0314,21-11-2021,236,32%,160
OD0369,C054,P0315,08-03-2022,444,25%,333
OD0370,C055,P0316,29-12-2021,456,45%,251
OD0371,C056,P0317,19-01-2021,963,15%,819
OD0372,C057,P0318,09-04-2022,456,33%,306
OD0373,C058,P0319,26-11-2021,1189,42%,690
OD0374,C059,P0319,07-01-2022,1298,42%,753
OD0375,C060,P0319,16-10-2021,1456,39%,888
OD0376,C061,P0319,03-06-2021,1478,39%,902
OD0377,C062,P0319,29-06-2022,256,39%,156
OD0378,C063,P0319,17-03-2022,2698,39%,1646
OD0379,C064,P0319,17-06-2022,2364,30%,1655
OD0380,C065,P0320,25-09-2021,1236,30%,865
OD0381,C066,P0321,03-11-2021,756,30%,529
OD0382,C067,P0322,02-12-2021,326,25%,245
OD0383,C068,P0323,11-06-2022,453,25%,340
OD0384,C069,P0324,18-02-2023,326,30%,228
OD0385,C070,P0325,24-06-2022,456,30%,319
OD0386,C071,P0326,19-09-2021,456,30%,319
OD0387,C072,P0327,19-11-2022,456,40%,274
OD0388,C073,P0328,21-12-2022,456,40%,274
OD0389,C074,P0329,17-01-2021,236,40%,142
OD0390,C075,P0330,30-07-2022,996,40%,598
OD0391,C076,P0331,13-07-2022,654,40%,392
OD0392,C077,P0332,11-11-2021,456,40%,274
OD0393,C078,P0333,15-03-2021,785,45%,432
OD0394,C079,P0334,13-12-2022,365,45%,201
OD0395,C080,P0334,09-07-2022,965,45%,531
OD0396,C081,P0334,06-11-2022,444,47%,235
OD0397,C082,P0335,17-11-2022,569,47%,302
OD0398,C083,P0336,07-08-2021,475,46%,257
OD0399,C084,P0337,30-05-2022,598,46%,323
OD0400,C085,P0338,13-02-2023,536,46%,289
OD0401,C086,P0339,22-02-2021,256,30%,179
OD0402,C087,P0340,25-02-2021,456,30%,319
OD0403,C088,P0341,13-03-2021,456,30%,319
OD0404,C089,P0342,05-05-2021,745,30%,522
OD0405,C090,P0343,24-02-2021,356,30%,249
OD0406,C091,P0344,03-06-2022,1189,35%,773
OD0407,C092,P0345,02-12-2022,426,35%,277
OD0408,C093,P0346,13-05-2021,1126,35%,732
OD0409,C094,P0347,16-07-2021,1145,35%,744
OD0410,C095,P0348,29-11-2021,1235,35%,803
OD0411,C096,P0349,26-12-2021,1564,35%,1017
OD0412,C097,P0350,23-06-2021,654,40%,392
OD0413,C098,P0351,01-03-2022,854,40%,512
OD0414,C099,P0352,25-01-2022,475,15%,404
OD0415,C100,P0353,27-01-2022,349,15%,297
OD0416,C001,P0354,03-05-2022,350,15%,298
OD0417,C002,P0355,29-08-2021,351,35%,228
OD0418,C003,P0356,19-10-2021,352,35%,229
OD0419,C004,P0357,20-12-2022,2245,35%,1459
OD0420,C005,P0358,11-11-2021,2135,35%,1388
OD0421,C006,P0359,29-01-2022,1245,55%,560
OD0422,C007,P0360,03-10-2022,2145,55%,965
OD0423,C008,P0361,22-04-2022,2356,55%,1060
OD0424,C009,P0362,09-01-2021,2235,55%,1006
OD0425,C010,P0363,21-10-2021,2252,50%,1126
OD0426,C011,P0364,29-10-2022,2452,50%,1226
OD0427,C012,P0365,22-11-2022,2263,50%,1132
OD0428,C013,P0366,07-10-2021,2253,50%,1127
OD0429,C014,P0367,16-10-2022,1025,50%,513
OD0430,C015,P0368,19-10-2021,1025,30%,718
OD0431,C016,P0369,17-07-2022,555,32%,377
OD0432,C017,P0370,02-07-2022,599,25%,449
OD0433,C018,P0371,04-02-2021,555,45%,305
OD0434,C019,P0372,18-03-2021,555,15%,472
OD0435,C020,P0373,12-05-2022,565,33%,379
OD0436,C021,P0374,05-01-2023,555,42%,322
OD0437,C022,P0375,03-03-2021,999,42%,579
OD0438,C023,P0376,11-10-2021,999,39%,609
OD0439,C024,P0377,01-12-2021,999,39%,609
OD0440,C025,P0378,16-09-2022,999,39%,609
OD0441,C026,P0379,14-01-2021,1119,39%,683
OD0442,C027,P0380,31-03-2021,1119,30%,783
OD0443,C028,P0381,16-01-2022,1119,30%,783
OD0444,C029,P0382,26-11-2021,1119,30%,783
OD0445,C030,P0383,02-11-2022,985,25%,739
OD0446,C031,P0384,18-02-2021,985,25%,739
OD0447,C032,P0385,29-06-2022,985,30%,690
OD0448,C033,P0386,13-02-2021,985,30%,690
OD0449,C034,P0387,08-04-2021,985,30%,690
OD0450,C035,P0388,25-08-2021,369,40%,221
OD0451,C036,P0388,27-04-2021,399,40%,239
OD0452,C037,P0388,06-05-2021,399,40%,239
OD0453,C038,P0388,28-01-2021,399,40%,239
OD0454,C039,P0388,24-02-2021,399,40%,239
OD0455,C040,P0388,11-03-2023,555,40%,333
OD0456,C041,P0388,10-06-2022,555,45%,305
OD0457,C042,P0388,14-02-2021,555,45%,305
OD0458,C043,P0389,03-09-2021,555,45%,305
OD0459,C044,P0390,17-06-2022,675,47%,358
OD0460,C045,P0391,30-07-2021,675,47%,358
OD0461,C046,P0392,03-04-2021,675,46%,365
OD0462,C047,P0393,30-03-2021,654,46%,353
OD0463,C048,P0394,26-09-2021,654,46%,353
OD0464,C049,P0395,02-09-2022,654,30%,458
OD0465,C050,P0396,16-01-2022,654,30%,458
OD0466,C051,P0397,06-06-2022,356,30%,249
OD0467,C052,P0398,16-01-2022,686,30%,480
OD0468,C053,P0399,22-01-2023,456,30%,319
OD0469,C054,P0400,02-03-2022,516,35%,335
OD0470,C055,P0401,27-07-2022,355,35%,231
OD0471,C056,P0402,27-09-2022,465,35%,302
OD0472,C057,P0403,11-11-2022,965,35%,627
OD0473,C058,P0404,24-10-2022,1158,35%,753
OD0474,C059,P0404,25-05-2021,264,35%,172
OD0475,C060,P0404,01-09-2022,433,40%,260
OD0476,C061,P0404,21-06-2021,562,40%,337
OD0477,C062,P0404,16-07-2022,423,15%,360
OD0478,C063,P0404,27-09-2021,621,15%,528
OD0479,C064,P0405,23-11-2022,333,15%,283
OD0480,C065,P0406,25-04-2022,236,35%,153
OD0481,C066,P0407,07-03-2022,456,35%,296
OD0482,C067,P0408,29-10-2022,963,35%,626
OD0483,C068,P0409,22-07-2022,234,35%,152
OD0484,C069,P0410,13-11-2022,456,55%,205
OD0485,C070,P0411,13-04-2021,564,55%,254
OD0486,C071,P0412,07-05-2021,634,55%,285
OD0487,C072,P0413,24-12-2021,236,55%,106
OD0488,C073,P0414,23-02-2023,444,50%,222
OD0489,C074,P0415,11-06-2022,456,50%,228
OD0490,C075,P0416,31-08-2021,963,50%,482
OD0491,C076,P0417,16-04-2022,456,50%,228
OD0492,C077,P0417,31-07-2021,1189,50%,595
OD0493,C078,P0417,27-03-2023,1298,30%,909
OD0494,C079,P0417,23-09-2021,1456,32%,990
OD0495,C080,P0417,24-12-2022,1478,25%,1109
OD0496,C081,P0417,04-05-2021,256,45%,141
OD0497,C082,P0418,01-04-2022,2698,15%,2293
OD0498,C083,P0419,15-12-2022,2364,33%,1584
OD0499,C084,P0420,20-11-2022,1236,42%,717
OD0500,C085,P0421,08-02-2023,756,42%,438
OD0501,C086,P0422,10-01-2022,326,39%,199
OD0502,C087,P0423,24-02-2022,453,39%,276
OD0503,C088,P0424,11-06-2022,326,39%,199
OD0504,C089,P0425,09-06-2022,456,39%,278
OD0505,C090,P0426,09-02-2021,675,30%,473
OD0506,C091,P0427,23-04-2022,654,30%,458
OD0507,C092,P0428,10-08-2021,654,30%,458
OD0508,C093,P0429,11-03-2021,654,25%,491
OD0509,C094,P0430,09-03-2022,654,25%,491
OD0510,C095,P0431,21-05-2021,356,30%,249
OD0511,C096,P0432,06-02-2021,686,30%,480
OD0512,C097,P0433,15-02-2021,456,30%,319
OD0513,C098,P0434,24-08-2022,516,40%,310
OD0514,C099,P0434,13-09-2021,355,40%,213
OD0515,C100,P0434,20-10-2022,465,40%,279
OD0516,C001,P0434,16-01-2022,965,40%,579
OD0517,C002,P0434,07-09-2021,1158,40%,695
OD0518,C003,P0434,11-06-2021,264,40%,158
OD0519,C004,P0434,13-02-2022,433,45%,238
OD0520,C005,P0434,26-12-2021,562,45%,309
OD0521,C006,P0434,02-06-2021,423,45%,233
OD0522,C007,P0434,14-10-2021,621,47%,329
OD0523,C008,P0435,26-03-2021,333,47%,176
OD0524,C009,P0436,15-04-2022,236,46%,127
OD0525,C010,P0437,19-06-2021,456,46%,246
OD0526,C011,P0438,19-01-2021,963,46%,520
OD0527,C012,P0439,02-06-2022,234,30%,164
OD0528,C013,P0440,26-05-2021,456,30%,319
